한글,영어,일어
혼입,dope, ド－プ
도핑,doping,
도플러효과,Doppler effect, ドップラ- 果
"방사선량계, 자외선(량)계",dosimeter, 線量計
방사선량 측정법,dosimetry, 線的測定〔法]
겹살 질량 분석계,double beam mass spectrometer,
겹살형(식),double beam type,
이중결합,double bond, 二重結合
이중도포,double coating, 二重塗布
복분해,double decomposition, 複萬解
이중노광,double exposure, 二重露光
이중 군,double group,
이중나(사)선,double helix,
겹접촉,double junction,
이중 층,double layer, 二重層
이중 층 전기용량,double layer capacitance,
이중 층 전하 밀도,double layer charge density,
이중 층 효과,double layer effect,
이중녹는점,double melting point, 複融點
복합산화물,double oxide, 複酸化物
겹접시형,double pan type,
겹살분광기,double path spectrometer, 複光路分光計
이중 전위 계단,double potential step,
이중 전위 계단 대 시간 전류-반전법,double potential step chronoamperometric reversal technique,
겹침전,double precipitation,
이중 펄스 정전류법,double pulse galvanostatic method,
겹사전자 이론,double quartet theory,
"복굴절, 복반사",double refraction, 複屈折
복공명,double resonance, 二重共鳴
겹염,double salt, 複 鹽
이중가닥,double strand,
이중무게달기,double weighing, 二重はかり法
이중 집중 질량 분석계,double-focussing mass spectrometer,
이중 팔분 규칙,double-octant rule,
이중 역수 도시,double-reciprocal plot,
두가닥-,double-strand,
"이중 렌즈, 이중 첩점, 이중선, 이중항 (상태)",doublet, (1)二重線  (2)二重項
"람다 이중 축퇴, 람다 이중항",doubling, (1)合 絲【 】 (2)合わせ【ゴム】
낮은장(쪽),down field,
다운법,Downs process,
연신율,draw ratio, 延伸比
"제도, 도면, 연신",drawing, 延 伸【 】
형망어업,dredge,
"건조제, 전조기",drier, 乾燥劑 →dryer
표류,drift, ドリフト
해류병,drift bottle,
표류 속력,drift speed,
추진력,driving force, 推進力【化工】
방울시험,drop test, (1)滴下試驗  (2)落下試驗【燃】
방울 무게법,drop weight method,
"분맥, 적하관",dropper,
적하깔대기,dropping funnel, 滴下漏斗
적하수은전극,dropping mercury electrode, 滴下水銀電極
적하 수은 전극,dropping-mercury electrode,
방울수법,drop-ratio method,
방울응결,dropwise condensation, 滴狀凝縮
원통건조,drum drying, 円筒乾燥
원통염색,drum dyeing, ドラム染め【染】
건식재 만들기,dry ashing,
건식검정,dry assay, 乾式試金
건조 주머니,dry bag,
건조 (상태) 기준,dry basis, (1)無水ベ－ス  (2)乾燥量基準
건식혼합,dry blending, 乾式混合
건조 상자,dry box,
건류,dry distillation, 乾 留
건성기체,dry gas, 乾性ガス
드라이 아이스,dry Ice, ドライアイス
건성천연기체,dry natural gas, 乾性天然ガス
건조판,dry plate, 乾 板【寫】
건식법,dry process, 乾式法
"건식 방사, 회전 건조",dry spinning, 乾式紡絲
건식 반응,dry way reaction,
건조무게,dry weight, 乾燥重量
건조뜸씨,dry yeast, 乾燥酵母
무수무회바탕,dry-ash-free basis, 無水無灰ベ－ス【石炭】
"건조제, 건조기",dryer,
건식 충전,dry-fill packing,
건조실,drying chamber, (1)乾燥室  (2)漆ぶる【塗】
건성유,drying oil, 乾性油
권총 건조기,drying pistol,
건조관,drying tube,
시차훑음열량계,DSC,
시차열분석,DTA,
겹살,dual beam,
이중 검출기,dual detector,
이전극 흐름 용기,dual electrode flow cell,
이중기능촉매,dual function catalyst, 二元機能觸媒
이중성,duality,
"연성, 늘림성",ductility, (1)延 性 (2)伸 度【アスファルト】
"이전자계, 이중선, 이중항 (상태)",duet,
가상 전지,dummy cell,
임시 변수,dummy variable,
투기,dumping,
"중복, 복제",duplication, (1)複 製  (2)重 複
복제기,duplicator, (1)複製機  (2)型彫機
내구성,durability, (1)耐久性  (2)耐水性【ガラス】
듀랄루민,duralumin, ジュラルミン
듀렌,durene, ジュレン
분진,dust, (1)ダスト (2)粉じん【大氣】
집진,dust collection, 集じん
집진기,dust collector, 集じん裝置
제진,dust removing, 除じん
"먼지 털기, 먼지 날림",dusting, (1)ダスチング  (2)粉付け【ゴム】
다이애딕,dyadic,
"염료, 물감",dye, 染 料
염색중탕,dye bath, 染 浴
색소 레이저,dye laser, 色素レ－ザ－
염색지연제,dye retardant, 緩染劑【染】
염색고착제,dye-fixing agent, 染色固着劑
염색,dyeing, (1)浸 染  (2)染色
염색시험,dyeing test, 染色試驗
배율계,dynameter,
동적 행동,dynamic behavior,
동적특성,dynamic characteristics, 勤特性
동적 평형,dynamic equilibrium,
동적 마찰,dynamic friction,
동적 편극,dynamic polarization,
동적 과정,dynamic process,
동적점탄성,dynamic viscoelasticity, 勤的粘彈性
다이나마이트,dynamite, ダイナマイト
다인,dyne,
다이노드,dynode,
디스프로슘,dysprosium, ジスプロシウム
앞 전이금속,early transition metal,
지구,earth,
지각,earth crust, 地 殼
도기,earthenware, (1)陶 器  (2)土器
토상흑연,earthy graphite, 土狀黑鉛
에보나이트,ebonite, エボナイト
끓는점오름상수,ebullioscopic constant,
끓음,ebullition,
"가리움 형태, 가리워진 형태",eclipsed conformation,
가리움형,eclipsed form, 重なり形
가리움 효과,eclipsing effect,
"가림 긴장, 가림 변형",eclipsing strain,
생태학,ecology, 生態學
"이코노마이저, 절탄기",economizer, (1)エコノマイザ-  (2)節炭器
생태계,ecosystem, 生態系
소용돌이 확산,eddy diffusion,
"가장자리, 끝, 모서리",edge,
"모서리 어긋나기, 모서리 어긋남",edge dislocation,
모서리 변위,edge displacement,
가장자리 효과,edge effect, 周 果【寫】
o지 뤄너,edge runner, エッジランナ－
모서리 장력,edge-tension,
에디슨전지,Edison cell,
이디티에이,EDTA,
이이엘에스,EELS,
효과,effect,
유효 원자 번호,effective atomic number, (1)有 原子番號【化學】  (2)實 原子番號【原子力】
유효 띠나비,effective band width,
유효 포획 단면적,effective capture cross section,
유효 전하,effective charge,
유효 충돌,effective collision,
유효 농도,effective concentration,
유효조사량,effective dose, (1)有 量  (2) 果量【遺傳】
유효 전자 질량,effective electron mass,
유효 전자수,effective electron number,
유효막,effective film, 有 境膜【化工】
유효 선속,effective flux,
유효 자기 모멘트,effective magnetic moment,
유효 질량,effective mass, 有 質量
유효 핵전하,effective nuclear charge, 有 核電荷
유효 단수,effective plate number,
유효 단부피,effective plate volume,
유효 스핀,effective spin,
유효 부피,effective volume,
유효파장,effective wavelength, 有 波長
유효계수,effectiveness factor, 有 係數
효과인자,effector, エフ-ェクタ-
발포,effervescence, 泡立ち
능률,efficiency, 率
풍해,efflorescence, (1)風 解  (2)エフロレセンス
"용출액, 유출액",effluent, 溶出液
분출,effusion, エフュ－ジョン
고유 벡터,eigenvector,
18 전자 규칙,eighteen-electron rule,
아인호른관,Einhorn's tube, アインホルン管
아인슈타이늄,einsteinium, アインスタイニウム
이젝터,ejector, エゼクタ-
엘레이드산,elaidic acid, エライジン酸
탄성 충돌,elastic collision,
탄성 변혁,elastic deformation, 彈性變形
탄성한계,elastic limit, 彈性限度
탄성 산란,elastic scattering, 彈性散亂
탄성,elasticity, 彈 性
탄성시험,elasticity test, 彈性試驗
탄성 중합체,elastomer, エラストマ－
탄성율계,elastometer, 彈性率計
전기아-크로,electric arc furnace, ア－ク爐
전기 전도,electric conduction,
전기전도도,electric conductivity, 電氣傳導率(導電率)
전기뇌관,electric detonator, 電氣雷管
"전기 쌍극자, 전기 이중극자",electric dipole,
전기 쌍극자 모멘트,electric dipole moment,
전기 쌍극자 전이,electric dipole transition,
전기 방전식 합성,electric discharge synthesis,
전기이중층,electric double layer, 電氣二重層
전기장 기울기,electric field gradient,
전기로,electric furnace, 電氣爐
전기절연처리,electric insulating treatment, 電氣絶緣處理
전기 투과도,electric permeability,
퍼텐셜기울기,electric potential gradient, 電位の傾き【電】(電位勾配)
전기저항,electric resistance, 電氣抵抗
전기 부채꼴,electric sector,
전기화율,electric susceptibility, 電氣感受率
"전기전도도, 전기전도성",electrical conductivity,
전기 이중 층,electrical double layer,
전기집진기,electrical dust precipitator, 電氣集じん器
전기적성질,electrical property, 電氣的性質
전기전도성유리,electrically conductive glass, 導電性ガラス【窯】
전자화물,electride,
전자화 이온,electride ion,
전기활성 물질,electroactive substance, 電氣活性物質
전기화학 분석,electroanalysis, 電氣分析
전기분석화학,electroanalytical chemistry,
전기모세관 현상,electrocapillarity, 電氣毛管現象
전기모세관 곡선,electrocapillary curve,
전기모세관 극대점,electrocapillary maximum,
전극 촉매작용,electrocatalysis,
전극 촉매,electrocatalyst,
전기화학적인,electrochemical, 電氣化學系列
전기화학 셀,electrochemical cell,
전기화학 당량,electrochemical equivalent, 電氣化學當量
전기화학적부동태화,electrochemical passivation, 電氣化學的不動態化
전기화학 퍼텐셜,electrochemical potential, 電氣化學ポテンシャル
"전극전위 서열, 전위 서열",electrochemical series electromotive series,
전기화학적 합성,electrochemical synthesis,
전기화학 발광,electrochemiluminescence,
전기화학,electrochemistry, 電氣化學
전기변색 표지,electrochromic display,
"감전 발색, 전기변색 (현상)",electrochromism,
전해결정화,electrocrystallization,
전자 고리화 반응,electrocyclic reaction, 環狀電子反應
전극,electrode, 電 極
전극 전하 밀도,electrode charge density,
전극 중독,electrode poisoning,
전극과정,electrode process, 電極過程
전극반응,electrode reaction, 電極反應
전극 반응속도론,electrode reaction kinetics,
무전극 방전등,electrodeless discharge lamp,
전해 석출,electrodeposition, (1)電 着  (2)電氣めっき
전기투석,electrodialysis, 電氣透析
전극론,electrodics,
전기용출,electrodissolution, 電 溶
전기동력학,electrodynamics,
전기성형(법),electroforming, (1)雷 鑄  (2)電型法【樹脂】
전자 배척 이탈기,electrofugal,
전자 배척 이탈 부분,electrofugal moiety,
전기생성,electrogeneration,
전기기록 분석,electrographic analysis, ェレクトログラフ分析
전해무게분석법,electrogravimetric analysis,
전해 무게 분석법,electrogravimetry,
계면 동전기 효과,electrokinetic effect,
계면 동전기 현상,electrokinetic phenomenon, 界面勤電現象
무전해 석출,electroless deposition,
"전기분해, 전해",electrolysis, 電〔氣分〕解
전해(용)기,electrolysis cell, セ ル【電氣分析】
전해질,electrolyte, (1)電解質  (2)電解液
전해분석,electrolytic analysis, 電解分析
전해조,electrolytic bath, (1)電解槽  (2)電解浴
전해질 축전기,electrolytic capacitor, 電解コンデンサ-
"전해(용)기, 전해 셀, 전해 전지",electrolytic cell, 電解槽
전해세척,electrolytic cleaning, 電解洗淨
전해질 (전기) 전도,electrolytic conduction,
전해질 전도체,electrolytic conductor,
전식,electrolytic corrosion,
전해전류,electrolytic current, 電解電流
전해해리,electrolytic dissociation, 電 離
전해추출,electrolytic extraction, 電解油出
전해생성,electrolytic formation, 電解化成
전해무게분석,electrolytic gravimetry, 電解重量折析
전해산화,electrolytic oxidation, 電解酸化
전해 편극,electrolytic polarization,
전해연마,electrolytic polishing, 電解硏磨
전해환원,electrolytic reduction, 電解還元
전해정련,electrolytic refining, 電解精鍊
전해분리,electrolytic separation, 電解分離
전해액,electrolytic solution, 電解液
전해 합성,electrolytic synthesis,
전해질론,electrolytics,
전해기,electrolyzer,
전자기장,electromagnetic field,
전자기 복사,electromagnetic radiation,
전자기 복사장 스펙트럼,electromagnetic spectrum,
전자기(학),electromagnetism,
전자성 효과,electromeric effect, エレクトロメリ- 果
전기야금,electrometallurgy,
전위계,electrometer,
전기적정,electrometric titration, 電氣滴定
전기변조,electromodulation,
전자,electron, 電 子
전자 받는 기,electron accepting group,
전자받개,electron acceptor, 電子受容體
"전자 친화도, 전자 친화성",electron affinity, 電子親和力
전자살,electron beam,
전자 포착 검출기,electron capture detector,
전자 운반체,electron carrier, 電子傳達體
전자구름,electron cloud,
전자상관관계,electron correlation, 電子相關
전자 결핍 결합,electron deficient bonding,
전자 결핍 화합물,electron deficient compound,
전자밀도,electron density, 電子密度
전자 밀도 그림,electron density map,
전자 회절,electron diffraction, 電子回折
전자 주기,electron donating,
전자 주는 기,electron donating group,
전자받게,electron donor, 電子供 體
"전자 에너지 손실 분광법, 전자 에너지 손실 분광학",electron energy loss spectroscopy,
